i,j,mocoeff
6,24,  0.000000000000e+00
6,25,  0.000000000000e+00
6,26,  0.000000000000e+00
7,0,  0.000000000000e+00
7,1,  0.000000000000e+00
7,2,  0.000000000000e+00
7,3, -1.000023575719e+00
7,4,  0.000000000000e+00
7,5,  0.000000000000e+00
7,6,  0.000000000000e+00
7,7, -1.503415108852e-03
7,8,  0.000000000000e+00
7,9,  0.000000000000e+00
7,10, -1.236338158447e-02
7,11,  0.000000000000e+00
7,12,  0.000000000000e+00
7,13,  0.000000000000e+00
7,14,  0.000000000000e+00
7,15,  0.000000000000e+00
7,16,  0.000000000000e+00
7,17,  0.000000000000e+00
7,18,  0.000000000000e+00
7,19, -2.450364542714e-01
7,20,  0.000000000000e+00
7,21,  0.000000000000e+00
7,22,  0.000000000000e+00
7,23,  0.000000000000e+00
7,24,  0.000000000000e+00
7,25,  0.000000000000e+00
7,26,  0.000000000000e+00
8,0,  0.000000000000e+00
8,1,  0.000000000000e+00
8,2,  0.000000000000e+00
8,3,  0.000000000000e+00
8,4, -6.524328141713e-05
8,5,  0.000000000000e+00
8,6,  0.000000000000e+00
8,7,  0.000000000000e+00
8,8, -5.801581164902e-01
8,9,  0.000000000000e+00
8,10,  0.000000000000e+00
8,11,  1.173403643546e-01
8,12,  0.000000000000e+00
8,13,  0.000000000000e+00
8,14,  0.000000000000e+00
8,15,  0.000000000000e+00
8,16,  0.000000000000e+00
8,17,  0.000000000000e+00
8,18,  0.000000000000e+00
8,19,  0.000000000000e+00
8,20, -1.233210555482e+00
8,21,  0.000000000000e+00
8,22,  0.000000000000e+00
8,23,  0.000000000000e+00
8,24,  0.000000000000e+00
8,25,  0.000000000000e+00
8,26,  0.000000000000e+00
9,0,  0.000000000000e+00
9,1,  0.000000000000e+00
9,2, -6.524640647670e-05
9,3,  0.000000000000e+00
9,4,  0.000000000000e+00
9,5,  0.000000000000e+00
9,6, -5.801580561670e-01
9,7,  0.000000000000e+00
9,8,  0.000000000000e+00
9,9,  1.173403660055e-01
